,Dtype,Nulos,% Nulos,Cardinalidade
fraud_bool,int64,0,0.0,2
income,float64,0,0.0,9
name_email_similarity,float64,0,0.0,998861
prev_address_months_count,int64,0,0.0,374
current_address_months_count,int64,0,0.0,423
customer_age,int64,0,0.0,9
days_since_request,float64,0,0.0,989330
intended_balcon_amount,float64,0,0.0,994971
payment_type,object,0,0.0,5
zip_count_4w,int64,0,0.0,6306
velocity_6h,float64,0,0.0,998687
velocity_24h,float64,0,0.0,998940
velocity_4w,float64,0,0.0,998318
bank_branch_count_8w,int64,0,0.0,2326
date_of_birth_distinct_emails_4w,int64,0,0.0,40
employment_status,object,0,0.0,7
credit_risk_score,int64,0,0.0,551
email_is_free,int64,0,0.0,2
housing_status,object,0,0.0,7
phone_home_valid,int64,0,0.0,2
phone_mobile_valid,int64,0,0.0,2
bank_months_count,int64,0,0.0,33
has_other_cards,int64,0,0.0,2
proposed_credit_limit,float64,0,0.0,12
foreign_request,int64,0,0.0,2
source,object,0,0.0,2
session_length_in_minutes,float64,0,0.0,994887
device_os,object,0,0.0,5
keep_alive_session,int64,0,0.0,2
device_distinct_emails_8w,int64,0,0.0,4
device_fraud_count,int64,0,0.0,1
month,int64,0,0.0,8
