,count,mean,std,min,25%,50%,75%,max
fraud_bool,1000000.0,0.011029,0.104438364916213,0.0,0.0,0.0,0.0,1.0
income,1000000.0,0.5626956000000001,0.29034260114469257,0.1,0.3,0.6000000000000001,0.8,0.9
name_email_similarity,1000000.0,0.4936940949631275,0.2891247999953665,1.4345504845275636e-06,0.22521632107252676,0.4921525275151668,0.7555673081839434,0.9999993177937188
prev_address_months_count,1000000.0,16.718568,44.04623003277075,-1.0,-1.0,-1.0,12.0,383.0
current_address_months_count,1000000.0,86.587867,88.40659910389651,-1.0,19.0,52.0,130.0,428.0
customer_age,1000000.0,33.68908,12.025798658443994,10.0,20.0,30.0,40.0,90.0
days_since_request,1000000.0,1.025705230995808,5.381834634593084,4.036859788721786e-09,0.00719324625376785,0.015175737715242051,0.026330687534930702,78.45690383509861
intended_balcon_amount,1000000.0,8.66149853717249,20.236154606246824,-15.530554840076814,-1.1814879271805365,-0.830506544712849,4.984175831301604,112.9569276953714
zip_count_4w,1000000.0,1572.692049,1005.3745649573583,1.0,894.0,1263.0,1944.0,6700.0
velocity_6h,1000000.0,5665.296604795272,3009.3806653299107,-170.60307235124628,3436.365847992701,5319.769349162381,7680.717827395818,16715.565404174275
velocity_24h,1000000.0,4769.781964962282,1479.2126120157122,1300.3073144849477,3593.1791345693373,4749.9211611050905,5752.574190678951,9506.896596111665
velocity_4w,1000000.0,4856.324015811876,919.8439342098834,2825.748405284728,4268.368422847567,4913.436940627085,5488.083356427494,6994.764200834217
bank_branch_count_8w,1000000.0,184.361849,459.62532901673757,0.0,1.0,9.0,25.0,2385.0
date_of_birth_distinct_emails_4w,1000000.0,9.503544,5.03379188873803,0.0,6.0,9.0,13.0,39.0
credit_risk_score,1000000.0,130.989595,69.68181240676046,-170.0,83.0,122.0,178.0,389.0
email_is_free,1000000.0,0.529886,0.49910627737093843,0.0,0.0,1.0,1.0,1.0
phone_home_valid,1000000.0,0.417077,0.4930760785061664,0.0,0.0,0.0,1.0,1.0
phone_mobile_valid,1000000.0,0.889676,0.3132933340764102,0.0,1.0,1.0,1.0,1.0
bank_months_count,1000000.0,10.839303,12.116874526578185,-1.0,-1.0,5.0,25.0,32.0
has_other_cards,1000000.0,0.222988,0.41625055569995956,0.0,0.0,0.0,0.0,1.0
proposed_credit_limit,1000000.0,515.85101,487.559901854775,190.0,200.0,200.0,500.0,2100.0
foreign_request,1000000.0,0.025242,0.15685938301824998,0.0,0.0,0.0,0.0,1.0
session_length_in_minutes,1000000.0,7.5449402012899975,8.033106369073153,-1.0,3.103052964293375,5.114321329246575,8.866131094405466,85.89914319274027
keep_alive_session,1000000.0,0.576947,0.49404392848248146,0.0,0.0,1.0,1.0,1.0
device_distinct_emails_8w,1000000.0,1.018312,0.1807614542171625,-1.0,1.0,1.0,1.0,2.0
device_fraud_count,1000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
month,1000000.0,3.288674,2.209994164200034,0.0,1.0,3.0,5.0,7.0
